"Author (last, first)",Title,Year Published,Genre,Publisher,Location of Publisher,Location signed by author,Keywords,Derived From,Status and Links,
"Bruce, John Edward",Awakening of Hezekiah Jones,1916,Fiction,Phil H. Brown,"Hopkinsville, Kentucky",,Politics; Great Migration,History of Black Writing Corpus,,
"Burgess, Marie Louise","Ave Maria, A Tale",1895,Fiction,,,,Christian,History of Black Writing Corpus,,
"Bush-Banks, Olivia Ward",Original Poems,1899,Poetry,Louis A. Basinet,"Providence, Rhode Island","Providence, Rhode Island",,U-Penn,,http://digital.library.upenn.edu/women/bush/poems/original-poems.html
"Bush-Banks, Olivia Ward",Driftwood,1914,Poetry,Atlantic Printing Co,"Providence, Rhode Island",,Paul Laurence Dunbar,Digital Schomburg,,http://digilib.nypl.org/dynaweb/digs-p/wwm97246/@Generic__BookView
"Chesnutt, Charles",The Conjure Woman,1899,Fiction,"Houghton, Mifflin, & Co.",New York,,Short Stories; Supernatural; Black southern folklore,Gutenberg,,
"Chesnutt, Charles",The Colonel's Dream,1905,Fiction,"Harlem Moon, Broadway Books",New York,,Segregation; Hopes for reforming the South; Great Migration / returning home,Gutenberg,,
"Chesnutt, Charles",The House Behind the Cedars,1900,Fiction,,,,"Passing; Interracial relationships; ""tragic mulatto""",Gutenberg,,
"Chesnutt, Charles",The Marrow of Tradition,1901,Fiction,,,,"Wilmington, North Carolina race massacre; interracial relationships; segregation; lynching",Gutenberg,,
"Chesnutt, Charles",The Wife of His Youth and Other Stories of the Color Line,1899,"Fiction, Nonfiction",,,,Short Stories,Gutenberg ,,
"Clifford, Carrie Williams",Race Rhymes,1911,Poetry,,"Washington, DC",,,Women of the Early Harlem Renaissance,,
"Clifford, Carrie Williams",The Widening Light,1922,Poetry,,,,,Women of the Early Harlem Renaissance,,
"Coleman, Lucretia H.N.","Poor Ben, A Story of Real Life",1890,Fiction,,,,Christian; Picaresque,History of Black Writing Corpus,,
"Dandridge, Raymond Garfield",Poems,1920,Poetry,,"Cincinnati, Ohio",,Toussaint L'Overture; World War I; Vernacular; Sonnets,U-Michigan American Verse Project,,
"Detter, Thomas","Nellie Brown; Or, The Jealous Wife",1871,Fiction,,,,Marital melodrama; some passing (Jane Grey character),History of Black Writing Corpus,,
"Douglass, Frederick",The Heroic Slave,1853,Fiction,,,,Fugitive Slave Act; Abolitionism,Documenting the American South,,https://docsouth.unc.edu/neh/douglass1853/douglass1853.html
"Downing, Henry F.",The American Cavalryman: a Liberian Romance,1917,Fiction,,,,Liberia,History of Black Writing Novel Corpus,,
"Dreer, Herman","The Immediate Jewel of His Soul, A Romance",1919,Fiction,,,,,History of Black Writing Novel Corpus,,
"Du Bois, W.E.B.",Quest of the Silver Fleece,1911,Fiction,A.C. McClurg & Co. ,,New York City,,Gutenberg,,
"Dunbar-Nelson, Alice",Violets and Other Tales,1895,"Fiction, Poetry",Monthly Review,,,Short stories and poems,Gutenberg,,
"Dunbar-Nelson, Alice",The Goodness of St. Rocque and Other Stories,1899,Fiction,"Dodd, Mead, and Co.",New York,,,Gutenberg,,
"Dunbar, Paul Laurence",The Heart of Happy Hollow,1904,Fiction,"Dodd, Mead, and Company",New York,,,Gutenberg,,
"Dunbar, Paul Laurence",The Complete Poems of Paul Laurence Dunbar,1922,Poetry,"Dodd, Mead and Company",New York,,Introduction by W.D. Howells,Gutenberg,,
"Dunbar, Paul Laurence",The Strength of Gideon and Other Stories,1900,Fiction,,,,,Gutenberg,,
"Dunbar, Paul Laurence",The Fanatics,1901,Fiction,,,,,History of Black Writing Corpus,,
"Dunbar, Paul Laurence",The Love of Landry,1900,Fiction,,,,,History of Black Writing Corpus,,
"Dunbar, Paul Laurence",The Uncalled,1898,Fiction,North River Bindery Co.,New York,,,Gutenberg,,
"Durham, John Stephens","Diane, Princess of Haiti",1902,Fiction,,,,Supernatural; Caribbean; Haiti; Obeah (Obi),History of Black Writing Corpus,,
"Ellis, George Washington",The Leopard's Claw,1917,Fiction,,,,Liberia,History of Black Writing Novel Corpus,,
"Fleming, Sarah Lee Brown",Hope's Highway,1918,Fiction,,,,,History of Black Writing Corpus,,
"Fleming, Sarah Lee Brown",Clouds and Sunshine,1920,Poetry,,,,,HathiTrust,Formatting; https://babel.hathitrust.org/cgi/pt?id=nyp.33433107804308&view=1up&seq=7,
"Fordham, Mary Weston",Magnolia Leaves,1897,Poetry,Tuskegee Institute,"Tuskegee, Alabama",,Booker T. Washington Introduction,Gutenberg,,
"Fowler, Charles H.",Historical Romance of the American Negro,1902,Fiction,,"Baltimore, Maryland","Baltimore, Maryland",,Gutenberg,,
